Type,Colour,Brand,Img name
Casual jacket / coat,Brown,Unknown,HD_100905563_01.jpg
Smart jacket / coat,Blue,Unknown,HD_100907749_01.jpg
Smart jacket / coat,Grey,Unknown,HD_100907837_01.jpg
Sleeveless top,Black,Unknown,HD_100909488_01.jpg
Blouse,Green,Unknown,HD_100909749_01.jpg
Mini dress,Black,Unknown,HD_100910457_01.jpg
Strapless dress,Pink,Lipsy,HD_100913606_01.jpg
Knee length dress,Pink,Unknown,HD_100913809_01.jpg
Mini skirt,Black,Zara,HD_100914899_01.jpg
Jacket,Blue,Topman,HD_100915341_01.jpg
Pencil skirt,Black,Next,HD_100919915_01.jpg
Knee length dress,Pink,ASOS,HD_100921723_01.jpg
Pants,Pink,Miss Selfridge,HD_100922662_01.jpg
Mini dress,Green,Unknown,HD_100924182_01.jpg
Trousers,Black,Unknown,HD_100926345_01.jpg
Dress,Brown,Unknown,HD_100926681_01.jpg
Skirt suit,Black,Unknown,HD_100927134_01.jpg
Sleeveless,Black,Unknown,HD_100927981_01.jpg
Short,Green,Coast,HD_100928124_01.jpg
Jacket,Black,Unknown,HD_100929322_01.jpg
Sleeveless,Blue,Unknown,HD_100929596_01.jpg
Blouse,Black,Unknown,HD_100930437_01.jpg
Trousers,Grey,Unknown,HD_100930574_01.jpg
Jacket,Grey,ASOS,HD_100931464_01.jpg
Knee length dress,Green,Next,HD_100937098_01.jpg
Jacket,Grey,Pierre Cardin,HD_100937185_01.jpg
Cropped trousers,Blue,Windsmoor,HD_100939538_01.jpg
Jacket,Beige,Pierre Cardin,HD_100943126_01.jpg
Mini dress,Yellow,Unknown,HD_100944057_01.jpg
Mini dress,Beige,Lipsy,HD_100945294_01.jpg
Jacket,Brown,Sandwich,HD_100946712_01.jpg
Vest,Beige,Unknown,HD_100947384_01.jpg
Smart jacket / coat,Blue,Viyella,HD_100949825_01.jpg
Casual jacket / coat,Grey,Jacques Vert,HD_100954101_01.jpg
Sleeveless,Black,ASOS,HD_100956248_01.jpg
Strapless dress,Purple,Unknown,HD_100962292_01.jpg
Short,Metallics,Topshop,HD_100964396_01.jpg
Jeans,Green,Unknown,HD_100964620_01.jpg
Jeans,Grey,Unknown,HD_100964625_01.jpg
Smart jacket / coat,Beige,Unknown,HD_100964780_01.jpg
Cocktail dress,Red,Unknown,HD_100965745_01.jpg
Raincoat,Beige,Unknown,HD_100975110_01.jpg
Casual jacket / coat,Brown,Unknown,HD_100975707_01.jpg
Knee length skirt,Black,Unknown,HD_100975926_01.jpg
Jacket,Black,Hugo Boss,HD_100977058_01.jpg
Casual jacket / coat,Beige,Unknown,HD_100978035_01.jpg
Jacket,Beige,Unknown,HD_100979489_01.jpg
Jacket,Grey,Tommy Hilfiger,HD_100980680_01.jpg
Knee length dress,Black,Unknown,HD_100981107_01.jpg
Skirt,Pink,Unknown,HD_100982085_01.jpg
Mini dress,Brown,Unknown,HD_100983564_01.jpg
Jacket,Black,Unknown,HD_100983993_01.jpg
Short,Black,ASOS,HD_100984325_01.jpg
Mini dress,Black,Unknown,HD_100987077_01.jpg
Coat,Brown,Unknown,HD_100989051_01.jpg
Knee length skirt,Black,Unknown,HD_100991413_01.jpg
Jacket,Grey,Linea,HD_100992674_01.jpg
Jacket,Black,Unknown,HD_100992869_01.jpg
Short,Grey,Missguided,HD_100993268_01.jpg
Calf length dress,Black,Principles,HD_100993523_01.jpg
Mini dress,Black,Topshop,HD_100994533_01.jpg
Long sleeved shirt,Red,Unknown,HD_100995859_01.jpg
Long sleeved shirt,White,T.M.Lewin,HD_100996580_01.jpg
Long sleeved shirt,Purple,Charles Tyrwhitt,HD_100996624_01.jpg
Knee length skirt,Grey,Ralph Lauren,HD_100996687_01.jpg
Jacket,Blue,Jaeger,HD_100998350_01.jpg
Long sleeved shirt,Blue,Debenhams,HD_101002833_01.jpg
Evening dress,Blue,Lipsy,HD_101003045_01.jpg
Trousers,Brown,Unknown,HD_101007542_01.jpg
Jacket,Grey,Jaeger,HD_101007603_01.jpg
Jacket,Black,Unknown,HD_101007732_01.jpg
Knee length dress,Black,Unknown,HD_101008162_01.jpg
Knee length dress,Black,Watters & Watters,HD_101009341_01.jpg
Vest,Brown,Unknown,HD_101009593_01.jpg
Evening dress,Brown,Unknown,HD_101010469_01.jpg
Jacket,Grey,G Star,HD_101011374_01.jpg
Jacket,Beige,Unknown,HD_101012827_01.jpg
Cocktail dress,Brown,Unknown,HD_101013298_01.jpg
Jacket,Blue,Banana Republic,HD_101013792_01.jpg
Smock,Blue,Unknown,HD_101013947_01.jpg
Strapless dress,Black,Jane Norman,HD_101014161_01.jpg
Jacket,Brown,Pierre Cardin,HD_101015249_01.jpg
Trousers,Black,Versace,HD_101016993_01.jpg
Smart jacket / coat,Green,Unknown,HD_101019805_01.jpg
Jacket,Brown,Next,HD_101019948_01.jpg
Dress,Pink,Unknown,HD_101020744_01.jpg
Jeans,Black,Tommy Hilfiger,HD_101021329_01.jpg
Jacket,Grey,Unknown,HD_101027352_01.jpg
Jacket,Grey,Sandwich,HD_101028269_01.jpg
Blouse,Purple,Unknown,HD_101029909_01.jpg
Jacket,Red,Unknown,HD_101033802_01.jpg
Coat,Black,J. Crew,HD_101034346_01.jpg
Dress,Black,Unknown,HD_101035568_01.jpg
Short,Pink,Unknown,HD_101035742_01.jpg
Jacket,Blue,Unknown,HD_101035933_01.jpg
Knee length dress,Black,Unknown,HD_101037340_01.jpg
Jeans,Blue,Unknown,HD_101042937_01.jpg
T-Shirt,Yellow,Unknown,HD_101044761_01.jpg
Waistcoat,Grey,Autograph,HD_101044847_01.jpg
Trousers,Black,Lands' End,HD_101045341_01.jpg
Trousers,Black,Lands' End,HD_101045342_01.jpg
Jacket,Grey,St Michael,HD_101045907_01.jpg
Jacket,Blue,Ted Baker,HD_101046568_01.jpg
Mini dress,Yellow,Unknown,HD_101050045_01.jpg
Mini dress,Black,Zara,HD_101050913_01.jpg
Jacket,Black,Unknown,HD_101053210_01.jpg
Knee length dress,Black,Unknown,HD_101053636_01.jpg
Trousers,Black,Unknown,HD_101054309_01.jpg
Jacket,Grey,Unknown,HD_101054894_01.jpg
Smart jacket / coat,Black,Unknown,HD_101055223_01.jpg
Cocktail dress,Black,Unknown,HD_101056450_01.jpg
Smart jacket / coat,Beige,Per Una,HD_101057427_01.jpg
Casual jacket / coat,Black,Unknown,HD_101057510_01.jpg
Knee length dress,Black,Unknown,HD_101058036_01.jpg
Full length dress,Pink,Unknown,HD_101059208_01.jpg
Full length dress,Grey,Unknown,HD_101059262_01.jpg
Knee length skirt,Grey,Reiss,HD_101066893_01.jpg
Coat,Grey,DKNY,HD_101067404_01.jpg
Overcoat,Cream,Unknown,HD_101067406_01.jpg
Skirt suit,White,Unknown,HD_101068526_01.jpg
Skirt suit,White,Unknown,HD_101068533_01.jpg
Dress,White,Lipsy,HD_101069002_01.jpg
Jacket,Brown,Unknown,HD_101070117_01.jpg
Strapless dress,Orange,Zara,HD_101070413_01.jpg
Mini dress,Grey,Ted Baker,HD_101070721_01.jpg
Knee length dress,Pink,Unknown,HD_101070736_01.jpg
Casual jacket / coat,Brown,Unknown,HD_101071437_01.jpg
Jacket,Black,Monsoon,HD_101073982_01.jpg
Skirt suit,White,Unknown,HD_101074972_01.jpg
Skirt suit,White,Unknown,HD_101074990_01.jpg
Trousers,Blue,ASOS,HD_101075273_01.jpg
Blouse,Blue,Next,HD_101076687_01.jpg
Jacket,Purple,Jacques Vert,HD_101076933_01.jpg
Jacket,Grey,Jaeger,HD_101077997_01.jpg
Knee length skirt,Black,Jaeger,HD_101080919_01.jpg
Blazer,Blue,Aquascutum,HD_101082221_01.jpg
Jeans,Black,Diesel,HD_101082720_01.jpg
Knee length dress,Black,Great Plains,HD_101084222_01.jpg
Smart jacket / coat,Black,DKNY,HD_101085398_01.jpg
Cocktail dress,Purple,Unknown,HD_101086424_01.jpg
Cardigan,Black,Topshop,HD_101086955_01.jpg
Jeans,Black,Unknown,HD_101088633_01.jpg
Short,Pink,ASOS,HD_101089752_01.jpg
Long sleeved shirt,Red,Unknown,HD_101090332_01.jpg
Sleeveless,Black,Unknown,HD_101090959_01.jpg
Jumper,Black,Unknown,HD_101092501_01.jpg
Strapless dress,Metallics,Coast,HD_101092777_01.jpg
Smart jacket / coat,Brown,Unknown,HD_101094306_01.jpg
Cocktail dress,Black,Unknown,HD_101094726_01.jpg
Casual jacket / coat,Brown,Unknown,HD_101094766_01.jpg
Jacket,Beige,Unknown,HD_101097944_01.jpg
Evening dress,Grey,Miss Selfridge,HD_101098731_01.jpg
Trousers,Black,Unknown,HD_101098827_01.jpg
Knee length dress,Black,Unknown,HD_101101252_01.jpg
Cocktail dress,Yellow,Unknown,HD_101104522_01.jpg
Jeans,Blue,Unknown,HD_101104949_01.jpg
Jacket,Beige,Unknown,HD_101105722_01.jpg
Casual jacket / coat,Black,Unknown,HD_101106660_01.jpg
Bomber jacket,Blue,Unknown,HD_101108444_01.jpg
Long sleeved shirt,Blue,Unknown,HD_101108555_01.jpg
Strapless dress,Pink,Dorothy Perkins,HD_101108967_01.jpg
Trousers,Grey,Unknown,HD_101108969_01.jpg
Strapless dress,Pink,Coast,HD_101110106_01.jpg
Smart jacket / coat,Blue,Debenhams,HD_101110263_01.jpg
Coat,Black,Unknown,HD_101112014_01.jpg
Coat,Green,Unknown,HD_101112877_01.jpg
Long skirt,Grey,Unknown,HD_101113597_01.jpg
Jacket,Black,Banana Republic,HD_101113768_01.jpg
Evening dress,Black,Unknown,HD_101114138_01.jpg
Casual jacket / coat,Black,Unknown,HD_101114558_01.jpg
Jacket,Black,Unknown,HD_101114692_01.jpg
Smart jacket / coat,Grey,Unknown,HD_101123122_01.jpg
Sleeveless,Black,Oasis,HD_101128780_01.jpg
Smart jacket / coat,Blue,Banana Republic,HD_101128806_01.jpg
Casual jacket / coat,Black,Unknown,HD_101129468_01.jpg
Strapless dress,Green,Unknown,HD_101129793_01.jpg
Calf length dress,Blue,Unknown,HD_101132443_01.jpg
Evening dress,Pink,Monsoon,HD_101133429_01.jpg
Trousers,Black,Unknown,HD_101133638_01.jpg
Jacket,Grey,Paul Costelloe,HD_101134104_01.jpg
Strapless dress,Brown,Unknown,HD_101135165_01.jpg
Jumper,Grey,Unknown,HD_101135785_01.jpg
Trousers,Black,Unknown,HD_101136192_01.jpg
Cocktail dress,Cream,Unknown,HD_101137594_01.jpg
Smart jacket / coat,Blue,Unknown,HD_101138157_01.jpg
Cardigan,Pink,Unknown,HD_101139077_01.jpg
Jacket,Orange,Unknown,HD_101141281_01.jpg
Jumper,Purple,Ralph Lauren,HD_101141551_01.jpg
Trousers,Blue,Unknown,HD_101142381_01.jpg
Coat,Black,Unknown,HD_101142484_01.jpg
Evening dress,Purple,Unknown,HD_101144591_01.jpg
Knee length dress,Black,Unknown,HD_101144794_01.jpg
Raincoat,Green,Unknown,HD_101145878_01.jpg
Jacket,Grey,Paul Smith,HD_101146202_01.jpg
Casual jacket / coat,Grey,Unknown,HD_101146516_01.jpg
Casual jacket / coat,Black,Diesel,HD_101148008_01.jpg
Casual jacket / coat,Black,Unknown,HD_101149908_01.jpg
Jeans,Blue,Diesel,HD_101150447_01.jpg
Knee length skirt,Brown,Miss Selfridge,HD_101152341_01.jpg
Calf length dress,Black,Unknown,HD_101152565_01.jpg
Long sleeved shirt,Blue,Unknown,HD_101153977_01.jpg
Casual jacket / coat,Black,Unknown,HD_101154937_01.jpg
Smock top,Black,Zara,HD_101155848_01.jpg
Calf length skirt,Blue,Unknown,HD_101155859_01.jpg
Jeans,Blue,Unknown,HD_101156208_01.jpg
Coat,Blue,Dannimac,HD_101156886_01.jpg
Dress,Black,Unknown,HD_101158931_01.jpg
Knee length dress,Blue,Apricot,HD_101160160_01.jpg
Jacket,Grey,Jaeger,HD_101160358_01.jpg
Jacket,Green,John Rocha,HD_101161402_01.jpg
Knee length dress,Cream,Unknown,HD_101161956_01.jpg
Jacket,Black,Armani,HD_101161968_01.jpg
Jacket,Grey,Hugo Boss,HD_101162025_01.jpg
Evening dress,Black,Unknown,HD_101164351_01.jpg
Jacket,Grey,Unknown,HD_101164555_01.jpg
Jacket,Blue,Unknown,HD_101164607_01.jpg
Long sleeved shirt,Grey,Jaeger,HD_101165463_01.jpg
Blazer,Green,Unknown,HD_101166609_01.jpg
Mini dress,Black,Unknown,HD_101166982_01.jpg
Knee length skirt,White,Reiss,HD_101169333_01.jpg
Trousers,Brown,Unknown,HD_101169599_01.jpg
Dress,Green,Wtoo,HD_101170938_01.jpg
Dress,Blue,Wtoo,HD_101171081_01.jpg
Dress,Blue,Wtoo,HD_101171092_01.jpg
Dress,Green,Wtoo,HD_101171330_01.jpg
Strapless dress,Purple,Unknown,HD_101171587_01.jpg
Dress,Blue,Wtoo,HD_101171829_01.jpg
Dress,Pink,Wtoo,HD_101171876_01.jpg
Dress,Blue,Wtoo,HD_101171935_01.jpg
Jeans,Blue,G Star,HD_101172194_01.jpg
Jacket,Black,Paul Costelloe,HD_101172806_01.jpg
Jacket,Grey,Next,HD_101175368_01.jpg
Smart jacket / coat,Grey,Unknown,HD_101175688_01.jpg
Cardigan,Pink,Lands' End,HD_101177367_01.jpg
Cardigan,Pink,Lands' End,HD_101177369_01.jpg
Cardigan,Pink,Lands' End,HD_101177377_01.jpg
Cardigan,Pink,Lands' End,HD_101177379_01.jpg
Long dress,Purple,Unknown,HD_101178200_01.jpg
Long dress,Purple,Unknown,HD_101178290_01.jpg
Knee length skirt,Black,Unknown,HD_101180236_01.jpg
Overcoat,Brown,F&F,HD_101180343_01.jpg
Jeans,Blue,G Star,HD_101180884_01.jpg
Jeans,Blue,G Star,HD_101180915_01.jpg
Jeans,Blue,Unknown,HD_101183850_01.jpg
Knee length dress,Black,Unknown,HD_101186208_01.jpg
Evening dress,Beige,Unknown,HD_101186473_01.jpg
Strapless dress,Purple,Unknown,HD_101187566_01.jpg
Jeans,Blue,Diesel,HD_101187717_01.jpg
Evening dress,Blue,Next,HD_101188713_01.jpg
Jumper,Black,Gap,HD_101188747_01.jpg
Jacket,Black,Unknown,HD_101189906_01.jpg
Evening dress,Pink,Karen Millen,HD_101191146_01.jpg
Jacket,Black,Unknown,HD_101192171_01.jpg
Casual jacket / coat,Beige,Unknown,HD_101192544_01.jpg
Skirt suit,Yellow,Gerry Weber,HD_101193295_01.jpg
Pencil skirt,Black,Unknown,HD_101195239_01.jpg
Evening dress,White,Unknown,HD_101197721_01.jpg
Evening dress,Cream,Unknown,HD_101198075_01.jpg
Casual jacket / coat,Black,New Look,HD_101198293_01.jpg
Raincoat,Black,Kaliko,HD_101198583_01.jpg
Trousers,Grey,Jaeger,HD_101200063_01.jpg
Cardigan,Green,Unknown,HD_101200380_01.jpg
Trousers,Black,Unknown,HD_101200404_01.jpg
Jeans,Blue,G Star,HD_101200920_01.jpg
Cocktail dress,Black,Unknown,HD_101201376_01.jpg
Casual jacket / coat,Beige,Debenhams,HD_101201459_01.jpg
Sleeveless,Grey,Unknown,HD_101201687_01.jpg
Jacket,Green,Aquascutum,HD_101201704_01.jpg
Pants,Pink,DKNY,HD_101201940_01.jpg
Trousers,Grey,Next,HD_101202210_01.jpg
Long dress,Pink,Ted Baker,HD_101203195_01.jpg
Knee length dress,Black,Unknown,HD_101203222_01.jpg
Jacket,Grey,Unknown,HD_101203242_01.jpg
Cargo pants,Beige,Unknown,HD_101203243_01.jpg
Sleeveless top,Grey,Unknown,HD_101203280_01.jpg
Smart jacket / coat,Brown,Unknown,HD_101205046_01.jpg
Knee length dress,Grey,Unknown,HD_101205923_01.jpg
Evening dress,Purple,Unknown,HD_101206121_01.jpg
Short,Black,Unknown,HD_101209040_01.jpg
Trousers,Black,Planet,HD_101209488_01.jpg
Waistcoat,Grey,Ted Baker,HD_101209710_01.jpg
Trousers,Grey,Next,HD_101210053_01.jpg
Jacket,Blue,Unknown,HD_101210100_01.jpg
Jumpsuit,Black,Topshop,HD_101210154_01.jpg
T-Shirt,Red,Unknown,HD_101210395_01.jpg
Jacket,Grey,Unknown,HD_101210694_01.jpg
Knee length dress,Brown,Next,HD_101211175_01.jpg
Full length dress,Beige,Wtoo,HD_101213755_01.jpg
Full length dress,Pink,Wtoo,HD_101213774_01.jpg
Smart jacket / coat,Black,Ted Baker,HD_101214128_01.jpg
Long sleeved shirt,Purple,Paul Costelloe,HD_101214311_01.jpg
Long sleeved shirt,Beige,Reiss,HD_101215148_01.jpg
Evening dress,Green,Monsoon,HD_101215702_01.jpg
Full length dress,Cream,Watters & Watters,HD_101215891_01.jpg
Trousers,Black,Unknown,HD_101215946_01.jpg
Casual jacket / coat,Beige,Banana Republic,HD_101217216_01.jpg
Knee length dress,Cream,Coast,HD_101217423_01.jpg
Strapless dress,Purple,Unknown,HD_101218289_01.jpg
Smart jacket / coat,Brown,Unknown,HD_101219384_01.jpg
Knee length dress,Purple,Unknown,HD_101219993_01.jpg
Sleeveless,Blue,Frank Usher,HD_101221721_01.jpg
Skirt,Brown,Alex & Co,HD_101221950_01.jpg
Raincoat,Purple,Unknown,HD_101223009_01.jpg
Calf length skirt,Blue,Unknown,HD_101223199_01.jpg
T-Shirt,Black,French Connection,HD_101224323_01.jpg
Mini dress,Brown,River Island,HD_101225519_01.jpg
Knee length dress,Metallics,Alexon,HD_101225889_01.jpg
Evening dress,Black,Unknown,HD_101226632_01.jpg
Sleeveless top,Black,Unknown,HD_101228563_01.jpg
Blouse,Pink,TU,HD_101228832_01.jpg
Sleeveless,Cream,Unknown,HD_101229722_01.jpg
Knee length dress,Blue,French Connection,HD_101229807_01.jpg
Raincoat,Beige,Unknown,HD_101230131_01.jpg
Long sleeved shirt,Blue,Unknown,HD_101230420_01.jpg
Pants,Blue,River Island,HD_101230463_01.jpg
Full length dress,Purple,Unknown,HD_101232184_01.jpg
Strapless dress,Beige,Coast,HD_101232777_01.jpg
Trousers,Grey,Unknown,HD_101234103_01.jpg
Mini skirt,Black,Whistles,HD_101236712_01.jpg
Evening dress,Grey,Watters & Watters,HD_101238656_01.jpg
Calf length dress,Green,Unknown,HD_101239151_01.jpg
Jacket,Black,Versace,HD_101240237_01.jpg
Mini dress,Grey,Karen Millen,HD_101240366_01.jpg
Evening dress,Pink,Unknown,HD_101240428_01.jpg
Mini dress,Pink,Unknown,HD_101242763_01.jpg
Jacket,Grey,Unknown,HD_101244236_01.jpg
Long skirt,Pink,Viyella,HD_101244570_01.jpg
Long dress,Black,Unknown,HD_101246032_01.jpg
Cocktail dress,Black,Vila,HD_101247548_01.jpg
Sleeveless,Black,Unknown,HD_101248066_01.jpg
Jacket,Black,Hugo Boss,HD_101248579_01.jpg
Jacket,Grey,Charles Tyrwhitt,HD_101248623_01.jpg
Long sleeved shirt,Purple,Unknown,HD_101249292_01.jpg
Jacket,Green,Unknown,HD_101249841_01.jpg
Strapless dress,Black,Oasis,HD_101249989_01.jpg
Jeans,Blue,Unknown,HD_101250015_01.jpg
Casual jacket / coat,Green,Unknown,HD_101250098_01.jpg
Smart jacket / coat,Grey,Unknown,HD_101250607_01.jpg
Evening dress,Cream,Unknown,HD_101254278_01.jpg
Evening dress,Cream,Unknown,HD_101254290_01.jpg
Strapless dress,Brown,Coast,HD_101254382_01.jpg
Trousers,Blue,Unknown,HD_101254986_01.jpg
Sleeveless,Pink,Unknown,HD_101255334_01.jpg
Short sleeved shirt,Blue,Unknown,HD_101255335_01.jpg
Knee length dress,Cream,Watters & Watters,HD_101255438_01.jpg
